N° Layout;Código chapa ERP;Descrição da chapa;Família da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
11;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;88.78;100;50.875;11.3794;  0:18;SC09;MATERIAIS_FB_NORMAL;11000;14290;7388;90.12991;242007005Z33;TAMPO INTERM AE;1026;248;0.254448;160;40.71168;0.48854016;45.858302026;500;0;0;21/12/21;G20070515Z*.1;1011337;;2011000012014;0;0;1026;248;32 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO INTERM AEREO G20070
11;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;88.78;100;50.875;11.3794;  0:18;SC09;MATERIAIS_FB_NORMAL;11000;14290;7388;6.8596;242007005Z32;TAMPO INTERM CO;616;503;0.309848;10;3.09848;0.03718176;3.490178535;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;616;249;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO INTERM COL G20070
11;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;88.78;100;50.875;11.3794;  0:18;SC09;MATERIAIS_FB_NORMAL;11000;14290;7388;3.00022;242007005Z28;PRATELEIRA MOVE;616;220;0.13552;10;1.3552;0.0162624;1.526519439;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000012014;0;0;616;220;94 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PRATELEIRA MOVEL
12;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;86;100;50.875;11.3794;  0:16;SC09;MATERIAIS_FB_NORMAL;13750;14370;2464;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
12;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;86;100;50.875;11.3794;  0:16;SC09;MATERIAIS_FB_NORMAL;13750;14370;2464;81.42336;242007005Z33;TAMPO INTERM AE;1026;248;0.254448;140;35.62272;0.42747264;41.42042313;500;0;0;21/12/21;G20070515Z*.1;1011337;;2011000012014;0;0;1026;248;60 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO INTERM AEREO G20070
12;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;86;100;50.875;11.3794;  0:16;SC09;MATERIAIS_FB_NORMAL;13750;14370;2464;18.5856;242007005Z28;PRATELEIRA MOVE;616;220;0.13552;60;8.1312;0.0975744;9.45457687;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000012014;0;0;616;220;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PRATELEIRA MOVEL
13;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;10;0.73;1;10;84.12;100;60.5;11.3794;  0:14;SC09;MATERIAIS_FB_NORMAL;8250;22572;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
13;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;10;0.73;1;10;84.12;100;60.5;11.3794;  0:14;SC09;MATERIAIS_FB_NORMAL;8250;22572;0;99.99921;242007005Z33;TAMPO INTERM AE;1026;248;0.254448;200;50.8896;0.6106752;60.5;500;0;0;21/12/21;G20070515Z*.1;1011337;;2011000012014;0;0;1026;248;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO INTERM AEREO G20070
14;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;80;6.11;10;8;91.18;100;407;12.7575;  1:24;SC09;MATERIAIS_FB_NORMAL;11000;8424;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
14;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;80;6.11;10;8;91.18;100;407;12.7575;  1:24;SC09;MATERIAIS_FB_NORMAL;11000;8424;0;60.23607;242007005Z31;TAMPO BALCAO G2;1050;887;0.93135;240;223.524;3.35286;245.159209922;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000015039;0;0;1050;441;96 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO BALCAO G20070
14;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;80;6.11;10;8;91.18;100;407;12.7575;  1:24;SC09;MATERIAIS_FB_NORMAL;11000;8424;0;39.76458;242007005Z24;PORTA AEREO;524;352;0.184448;800;147.5584;2.213376;161.840790078;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;524;352;80 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA AEREO
15;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;5;0.38;1;8;85.23;62.5;25.4375;12.7575;  0:08;SC09;MATERIAIS_FB_NORMAL;8250;8052;1614;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
15;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;5;0.38;1;8;85.23;62.5;25.4375;12.7575;  0:08;SC09;MATERIAIS_FB_NORMAL;8250;8052;1614;42.95895;242007005Z31;TAMPO BALCAO G2;1050;887;0.93135;10;9.3135;0.1397025;10.92791939;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000015039;0;0;1050;441;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO BALCAO G20070
15;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;5;0.38;1;8;85.23;62.5;25.4375;12.7575;  0:08;SC09;MATERIAIS_FB_NORMAL;8250;8052;1614;19.50498;242007005Z01;BASE BALCAO G20;1048;807;0.845736;5;4.22868;0.0634302;4.961687246;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000015053;0;0;1048;401;2 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;BASE BALCAO G20070
15;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;5;0.38;1;8;85.23;62.5;25.4375;12.7575;  0:08;SC09;MATERIAIS_FB_NORMAL;8250;8052;1614;37.5339;242007005Z02;BASE COLUNA G20;642;507;0.325494;25;8.13735;0.12206025;9.547893364;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000015053;0;0;642;251;10 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;BASE COLUNA G20070
16;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;45;3.43;6;8;90.36;93.75;228.9375;12.7575;  1:05;SC09;MATERIAIS_FB_NORMAL;11000;8815;1572;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
16;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;45;3.43;6;8;90.36;93.75;228.9375;12.7575;  1:05;SC09;MATERIAIS_FB_NORMAL;11000;8815;1572;36.79602;242007005Z01;BASE BALCAO G20;1048;807;0.845736;90;76.11624;1.1417436;84.238247605;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000015053;0;0;1048;401;38 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;BASE BALCAO G20070
16;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;45;3.43;6;8;90.36;93.75;228.9375;12.7575;  1:05;SC09;MATERIAIS_FB_NORMAL;11000;8815;1572;8.02491;242007005Z24;PORTA AEREO;524;352;0.184448;90;16.60032;0.2490048;18.371662427;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;524;352;89 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA AEREO
16;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;45;3.43;6;8;90.36;93.75;228.9375;12.7575;  1:05;SC09;MATERIAIS_FB_NORMAL;11000;8815;1572;35.40373;242007005Z02;BASE COLUNA G20;642;507;0.325494;225;73.23615;1.09854225;81.050836686;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000015053;0;0;642;251;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;BASE COLUNA G20070
16;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;45;3.43;6;8;90.36;93.75;228.9375;12.7575;  1:05;SC09;MATERIAIS_FB_NORMAL;11000;8815;1572;19.77729;242007005Z26;PORTA BALCAO;347;655;0.227285;180;40.9113;0.6136695;45.276753282;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;347;655;18 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA BALCAO
17;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;55;4.2;7;8;89.66;98.21;279.8125;12.7575;  1:20;SC09;MATERIAIS_FB_NORMAL;11000;10550;1572;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
17;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;55;4.2;7;8;89.66;98.21;279.8125;12.7575;  1:20;SC09;MATERIAIS_FB_NORMAL;11000;10550;1572;37.08186;242007005Z01;BASE BALCAO G20;1048;807;0.845736;110;93.03096;1.3954644;103.757633161;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000015053;0;0;1048;401;82 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;BASE BALCAO G20070
17;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;55;4.2;7;8;89.66;98.21;279.8125;12.7575;  1:20;SC09;MATERIAIS_FB_NORMAL;11000;10550;1572;8.08724;242007005Z24;PORTA AEREO;524;352;0.184448;110;20.28928;0.3043392;22.62867836;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;524;352;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA AEREO
17;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;55;4.2;7;8;89.66;98.21;279.8125;12.7575;  1:20;SC09;MATERIAIS_FB_NORMAL;11000;10550;1572;39.86185;242007005Z26;PORTA BALCAO;347;655;0.227285;440;100.0054;1.500081;111.536241347;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;347;655;62 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA BALCAO
17;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;55;4.2;7;8;89.66;98.21;279.8125;12.7575;  1:20;SC09;MATERIAIS_FB_NORMAL;11000;10550;1572;14.97101;242007005Z27;PORTA MENOR BAL;347;492;0.170724;220;37.55928;0.5633892;41.889947132;500;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;347;492;44 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA MENOR BALCAO
18;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;15;1.14;2;8;85.27;93.75;76.3125;12.7575;  0:12;SC09;MATERIAIS_FB_NORMAL;8250;10465;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
18;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;15;1.14;2;8;85.27;93.75;76.3125;12.7575;  0:12;SC09;MATERIAIS_FB_NORMAL;8250;10465;0;58.48797;242007005Z01;BASE BALCAO G20;1048;807;0.845736;45;38.05812;0.5708718;44.630995843;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000015053;0;0;1048;401;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;BASE BALCAO G20070
18;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;15;1.14;2;8;85.27;93.75;76.3125;12.7575;  0:12;SC09;MATERIAIS_FB_NORMAL;8250;10465;0;41.51793;242007005Z13;FRENTE GAV G200;697;323;0.225131;120;27.01572;0.4052358;31.681504157;250;0;0;21/12/21;G20070515Z*.2;1011336;CORTE1X;2011000015053;0;0;346;323;48 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;FRENTE GAV G20070
19;2011000015039;AGLOM 15MM (2750x2200);AGLOM 15MM;15;2750;2200;6.05;40;3.63;5;8;89.14;100;242;12.7574;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;18786;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
19;2011000015039;AGLOM 15MM (2750x2200);AGLOM 15MM;15;2750;2200;6.05;40;3.63;5;8;89.14;100;242;12.7574;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;18786;0;77.83784;242007005Z25;PORTA COLUNA;318;825;0.26235;640;167.904;2.51856;188.370431853;2000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;318;825;32 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA COLUNA
19;2011000015039;AGLOM 15MM (2750x2200);AGLOM 15MM;15;2750;2200;6.05;40;3.63;5;8;89.14;100;242;12.7574;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;18786;0;22.16064;242007005Z27;PORTA MENOR BAL;347;492;0.170724;280;47.80272;0.7170408;53.629568147;500;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;347;492;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA MENOR BALCAO
20;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;95;7.25;12;8;90.06;98.96;483.3125;12.7575;  2:05;SC09;MATERIAIS_FB_NORMAL;13750;11704;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
20;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;95;7.25;12;8;90.06;98.96;483.3125;12.7575;  2:05;SC09;MATERIAIS_FB_NORMAL;13750;11704;0;80.15932;242007005Z25;PORTA COLUNA;318;825;0.26235;1330;348.9255;5.2338825;387.416626928;2000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;318;825;98.5 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA COLUNA
20;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;95;7.25;12;8;90.06;98.96;483.3125;12.7575;  2:05;SC09;MATERIAIS_FB_NORMAL;13750;11704;0;19.84155;242007005Z26;PORTA BALCAO;347;655;0.227285;380;86.3683;1.2955245;95.895873072;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;347;655;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA BALCAO
21;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;8;0.61;1;8;86.27;100;40.7;12.7575;  0:09;SC09;MATERIAIS_FB_NORMAL;11000;13818;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
21;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;8;0.61;1;8;86.27;100;40.7;12.7575;  0:09;SC09;MATERIAIS_FB_NORMAL;11000;13818;0;82.07567;242007005Z13;FRENTE GAV G200;697;323;0.225131;128;28.816768;0.43225152;33.401784128;250;0;0;21/12/21;G20070515Z*.2;1011336;CORTE1X;2011000015053;0;0;346;323;99.2 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;FRENTE GAV G20070
21;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;8;0.61;1;8;86.27;100;40.7;12.7575;  0:09;SC09;MATERIAIS_FB_NORMAL;11000;13818;0;17.93335;242007005Z25;PORTA COLUNA;318;825;0.26235;24;6.2964;0.094446;7.298215872;2000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;318;825;99.7 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA COLUNA
22;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;1;0.08;1;8;39.79;12.5;5.0875;12.7575;  0:06;SC09;MATERIAIS_FB_NORMAL;11000;3513;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
22;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;1;0.08;1;8;39.79;12.5;5.0875;12.7575;  0:06;SC09;MATERIAIS_FB_NORMAL;11000;3513;0;77.92574;242007005Z25;PORTA COLUNA;318;825;0.26235;6;1.5741;0.0236115;3.955929695;2000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000015053;0;0;318;825;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PORTA COLUNA
22;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;1;0.08;1;8;39.79;12.5;5.0875;12.7575;  0:06;SC09;MATERIAIS_FB_NORMAL;11000;3513;0;22.2902;242007005Z13;FRENTE GAV G200;697;323;0.225131;2;0.450262;0.00675393;1.131570305;250;0;0;21/12/21;G20070515Z*.2;1011336;CORTE1X;2011000015053;0;0;346;323;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;FRENTE GAV G20070
22;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;1;0.08;1;8;39.79;12.5;5.0875;12.7575;  0:06;SC09;MATERIAIS_FB_NORMAL;11000;3513;0;0;;;0;0;0;1;0;0;0;0;0;0;;;;;;0;0;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
23;2013000309057;HDF 2,5mm VERMONT DARK (2440x1850);3MM RUSTIC;2.5;2440;1850;4.514;45;0.51;2;24;82.83;93.75;203.13;7.5393;  0:23;SC09;MATERIAIS_FB_NORMAL;7320;19752;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
23;2013000309057;HDF 2,5mm VERMONT DARK (2440x1850);3MM RUSTIC;2.5;2440;1850;4.514;45;0.51;2;24;82.83;93.75;203.13;7.5393;  0:23;SC09;MATERIAIS_FB_NORMAL;7320;19752;0;61.61889;242007005Z08;COSTA INF AEREO;201;1042;0.209442;495;103.67379;0.259184475;125.163879014;500;0;0;21/12/21;G20070515Z*.1;1011337;;2013000309057;0;0;201;1042;99 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;COSTA INF AEREO
23;2013000309057;HDF 2,5mm VERMONT DARK (2440x1850);3MM RUSTIC;2.5;2440;1850;4.514;45;0.51;2;24;82.83;93.75;203.13;7.5393;  0:23;SC09;MATERIAIS_FB_NORMAL;7320;19752;0;38.38317;242007005Z09;COSTA MENOR AER;216;604;0.130464;495;64.57968;0.1614492;77.966120986;500;0;0;21/12/21;G20070515Z*.1;1011337;;2013000309057;0;0;216;604;99 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;COSTA MENOR AEREO
24;2013000309057;HDF 2,5mm VERMONT DARK (2440x1850);3MM RUSTIC;2.5;2440;1850;4.514;1;0.01;1;24;37.65;4.17;4.514;7.5393;  0:11;SC09;MATERIAIS_FB_NORMAL;12200;2934;2084;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
24;2013000309057;HDF 2,5mm VERMONT DARK (2440x1850);3MM RUSTIC;2.5;2440;1850;4.514;1;0.01;1;24;37.65;4.17;4.514;7.5393;  0:11;SC09;MATERIAIS_FB_NORMAL;12200;2934;2084;61.60059;242007005Z08;COSTA INF AEREO;201;1042;0.209442;5;1.04721;0.002618025;2.781419534;500;0;0;21/12/21;G20070515Z*.1;1011337;;2013000309057;0;0;201;1042;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;COSTA INF AEREO
24;2013000309057;HDF 2,5mm VERMONT DARK (2440x1850);3MM RUSTIC;2.5;2440;1850;4.514;1;0.01;1;24;37.65;4.17;4.514;7.5393;  0:11;SC09;MATERIAIS_FB_NORMAL;12200;2934;2084;38.37176;242007005Z09;COSTA MENOR AER;216;604;0.130464;5;0.65232;0.0016308;1.732580466;500;0;0;21/12/21;G20070515Z*.1;1011337;;2013000309057;0;0;216;604;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;COSTA MENOR AEREO
24;2013000309057;HDF 2,5mm VERMONT DARK (2440x1850);3MM RUSTIC;2.5;2440;1850;4.514;1;0.01;1;24;37.65;4.17;4.514;7.5393;  0:11;SC09;MATERIAIS_FB_NORMAL;12200;2934;2084;0;;;0;0;0;1;0;0;0;0;0;0;;;;;;0;0;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
