Layout    	Código chapa ERP    	Desc. da chapa                                                                  	Família da chapa                        	Espessura 	Comp. chapa    	Larg. Chapa    	m² da chapa    	Qtd chapa      	m³ total plano 	Carregamentos  	Qtd por corte  	Aproveitamento 	Ocupação Maq.  	m² chapa       	Custo R$/m²    	Tempo corte    	Máquina                       	Deposito                      	Cortes N1      	Cortes N2      	Cortes N3      	% peça plano   	Código peça ERP	Descrição da peça                                 	Comp. peça     	Largura peça   	m² liq. peça   	 Qdt prog.     	m²  liq. total 	m³ liq.  total 	m² bruto peça  	Qtd  produzida 	Pçs sup. prod. 	m² sup. prod.  	Data embalagem 	Referência     	Lote           	Lógica         	Cod. chapa ERP 	Nível          	Prioridade     	Comp. pç final 	Larg. pç final 	% produzido    	Nome arquivo data                                 	Tipo dado      	Usuário        	Data proc.     	Hora proc.     	Unidade             
1         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	42             	3.21           	6              	8              	92.76          	87.5           	213.675        	8              	  1:16         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11708          	300            	               	               	               	                                                  	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	29062022_082952_300622 - 12_FV_data               	DATA_LAYOUT    	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
1         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	42             	3.21           	6              	8              	92.76          	87.5           	213.675        	8              	  1:16         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11708          	300            	2.6699         	2424750009P7   	MONTANTE PORTA                                    	630            	50             	0.0315         	168            	5.292          	0.07938        	5.704971536    	200            	0              	0              	01/07/22       	G24750PR091.1  	1118035        	               	2011000015022  	0              	3              	630            	50             	84 %           	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
1         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	42             	3.21           	6              	8              	92.76          	87.5           	213.675        	8              	  1:16         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11708          	300            	21.96341       	242005605Z02   	BASE BALCAO G20                                   	643            	403            	0.259129       	168            	43.533672      	0.65300508     	46.930906954   	248            	0              	0              	30/06/22       	G20056517K*.1  	1120143        	               	2011000015022  	0              	0              	643            	403            	67.7 %         	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
1         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	42             	3.21           	6              	8              	92.76          	87.5           	213.675        	8              	  1:16         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11708          	300            	28.96646       	242005608N19   	PORTA AEREO                                       	498            	549            	0.273402       	210            	57.41442       	0.8612163      	61.894866181   	250            	0              	0              	30/06/22       	G20056517K*.1  	1120143        	               	2011000015022  	0              	0              	498            	549            	84 %           	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
1         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	42             	3.21           	6              	8              	92.76          	87.5           	213.675        	8              	  1:16         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11708          	300            	1.3413         	2424200009P7   	RODAPE LATERAL                                    	422            	150            	0.0633         	42             	2.6586         	0.039879       	2.866069033    	92             	0              	0              	01/07/22       	G24750PR091.1  	1118035        	               	2011000015022  	0              	3              	422            	150            	45.7 %         	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
1         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	42             	3.21           	6              	8              	92.76          	87.5           	213.675        	8              	  1:16         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11708          	300            	45.05767       	242005605Z24   	TAMPO BALCAO G2                                   	800            	443            	0.3544         	252            	89.3088        	1.339632       	96.278186296   	252            	2              	0.76           	30/06/22       	G20056517K*.1  	1120143        	               	2011000015022  	0              	0              	800            	443            	*****          	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
2         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	4              	0.31           	1              	8              	92.98          	50             	20.35          	8              	  0:14         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11291          	600            	               	               	               	                                                  	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	29062022_082952_300622 - 12_FV_data               	DATA_LAYOUT    	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
2         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	4              	0.31           	1              	8              	92.98          	50             	20.35          	8              	  0:14         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11291          	600            	17.61438       	242009108N08   	PORTA BALCAO                                      	318            	655            	0.20829        	16             	3.33264        	0.0499896      	3.584301278    	252            	2              	0.45           	30/06/22       	G20056517K*.1  	1120143        	               	2011000015022  	0              	0              	318            	655            	6.3 %          	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
2         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	4              	0.31           	1              	8              	92.98          	50             	20.35          	8              	  0:14         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11291          	600            	21.91366       	242005605Z02   	BASE BALCAO G20                                   	643            	403            	0.259129       	16             	4.146064       	0.06219096     	4.459150252    	248            	0              	0              	30/06/22       	G20056517K*.1  	1120143        	               	2011000015022  	0              	0              	643            	403            	74.2 %         	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
2         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	4              	0.31           	1              	8              	92.98          	50             	20.35          	8              	  0:14         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11291          	600            	57.80169       	242005608N19   	PORTA AEREO                                       	498            	549            	0.273402       	40             	10.93608       	0.1640412      	11.761908134   	250            	0              	0              	30/06/22       	G20056517K*.1  	1120143        	               	2011000015022  	0              	0              	498            	549            	*****          	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
2         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	4              	0.31           	1              	8              	92.98          	50             	20.35          	8              	  0:14         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	13750          	11291          	600            	2.67653        	2424200009P7   	RODAPE LATERAL                                    	422            	150            	0.0633         	8              	0.5064         	0.007596       	0.544640335    	92             	0              	0              	01/07/22       	G24750PR091.1  	1118035        	               	2011000015022  	0              	3              	422            	150            	54.3 %         	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
3         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	8              	0.61           	1              	8              	92.35          	100            	40.7           	8              	  0:11         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	19250          	9050           	0              	               	               	               	                                                  	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	29062022_082952_300622 - 12_FV_data               	DATA_LAYOUT    	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
3         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	8              	0.61           	1              	8              	92.35          	100            	40.7           	8              	  0:11         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	19250          	9050           	0              	2.68156        	2424750009P7   	MONTANTE PORTA                                    	630            	50             	0.0315         	32             	1.008          	0.01512        	1.091451932    	200            	0              	0              	01/07/22       	G24750PR091.1  	1118035        	               	2011000015022  	0              	3              	630            	50             	*****          	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
3         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	8              	0.61           	1              	8              	92.35          	100            	40.7           	8              	  0:11         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	19250          	9050           	0              	44.1188        	242005605Z02   	BASE BALCAO G20                                   	643            	403            	0.259129       	64             	16.584256      	0.24876384     	17.957260171   	248            	0              	0              	30/06/22       	G20056517K*.1  	1120143        	               	2011000015022  	0              	0              	643            	403            	*****          	29062022_082952_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
3         	2011000015039       	AGLOM 15MM (2750x1850)                                                          	AGLOM 15MM                              	15        	2750           	1850           	5.0875         	8              	0.61           	1              	8              	92.35          	100            	40.7           	8              	  0:11         	SC08 - GABIANNI GALAXY T3     	MATERIAIS_20190730_PRIORIDADE 	19250          	9050           	0              	53.19457       	242009108N08   	PORTA BALCAO                                      	318            	655            	0.20829        	96             	19.99584       	0.2999376      	21.651287897   	252            	2              	0.45           	30/06/22       	G20056517K*.1  	1120143        	               	2011000015022  	0              	0              	318            	655            	44.4 %         	29062022_082953_300622 - 12_FV_data               	DATA_PEÇA      	Ardis          	29/06/2022     	  8:29         	Fábrica Vermelha    
